Paragraphs,Links,Images
"Ce qui commença comme un murmure à peine audible s'amplifia à mesure que je prenais confiance en mes nouvelles capacités. Bientôt, je criai déjà des mots absurdes vers le ciel, riant en dedans de savoir que je brisais le silence. Et ce qui fut encore plus surprenant, c'est que le monde m'a écouté. Des vagues d'énergie apparurent dans le ciel, contrôlées uniquement par le volume de ma voix. Si je murmurais, elles étaient légères et douces, flottant gaiement pendant quelques secondes avant de disparaître. Si je hurlais, elles étaient lourdes et tranchantes, se heurtant agressivement à l'oubli infini qui m'entourait.",/scp-series-5#4000,
"Cela me plût beaucoup, car cela donnait un sens au chaos, me donnait un but. Je n'étais pas un prisonnier ! J'étais un dieu ! Ce n'était pas ma prison, mais mon domaine ! Mes mots étaient mes commandements, ma voix mon arme ! Par ces pouvoirs, je pourrais reconstruire ce domaine et en faire un lieu de vie, un lieu de joie, sur lequel je règnerais avec justice ! C'est ainsi que cela devait être, car c'est ainsi que j'en avais décidé ! J'ai souri en concentrant toute mon énergie, tous mes espoirs et toutes mes ambitions dans un hurlement assourdissant, tumultueux, le rugissement qui débuterait mon règne comme seigneur du néant absolu.",/scp-series-5#4100,
"Mais cela n'a rien changé. Les vagues créées par mon effort, bien que de nature incroyablement violente, disparurent après quelques secondes sans laisser de trace, comme si elles n'avaient eu aucun impact sur ce damné abysse. J'ai essayé à nouveau, avec le même résultat. J'ai hurlé encore et encore, mes cris de colère se changeant peu à peu en hurlements de peur et d'horreur devant la perspective d'être à jamais piégé dans le damné silence qui emplissait cet abominable endroit. J'ai hurlé et hurlé jusqu'à n'en plus pouvoir, jusqu'à ne plus avoir d'autre choix que de pleurer. Ce n'était pas juste. Ce n'était pas juste ! CE N'EST PAS JUSTE !",/scp-series-5#4200,
"Je n'ai rien fait pour mériter un tel sort, alors pourquoi suis-je ici ?! Qui ou quoi pourrait être assez cruel pour piéger quelqu'un dans un néant absolu pour l'éternité ?! ""Fondation"", est-ce que c'est toi qui m'a fait cela ?! Est-ce que ""Fondation"" est mon geôlier ?! Ou est-ce mon créateur ? Cela n'a aucune importance ! Je hurlerai et crierai dans le vide jusqu'à ce que les vagues que je crée déchirent une sortie dans cet enfer, et je trouverai la vérité, le seul fragment de logique et de raison dans cette mer infinie de folie et de désespoir qu'est mon existence !",/scp-series-5#4300,
…Je ne cesserai pas de hurler avant d'être libre.,/scp-series-5#4400,
,/scp-series-5#4500,
,/scp-series-5#4600,
,/scp-series-5#4700,
,/scp-series-5#4800,
,/scp-series-5#4900,
,/scp-series-6,
,/scp-series-6#5000,
,/scp-series-6#5100,
,/scp-series-6#5200,
,/scp-series-6#5300,
,/scp-series-6#5400,
,/scp-series-6#5500,
,/scp-series-6#5600,
,/scp-series-6#5700,
,/scp-series-6#5800,
,/scp-series-6#5900,
,/scp-series-7,
,/scp-series-7#6000,
,/scp-series-7#6100,
,/scp-series-7#6200,
,/scp-series-7#6300,
,/scp-series-7#6400,
,/scp-series-7#6500,
,/scp-series-7#6600,
,/scp-series-7#6700,
,/scp-series-7#6800,
,/scp-series-7#6900,
,/scp-series-8,
,/scp-series-8#7000,
,/scp-series-8#7100,
,/scp-series-8#7200,
,/scp-series-8#7300,
,/scp-series-8#7400,
,/scp-series-8#7500,
,/scp-series-8#7600,
,/scp-series-8#7700,
,/scp-series-8#7800,
,/scp-series-8#7900,
,/scp-series-9,
,/scp-series-9#8000,
,/scp-series-9#8100,
,/scp-series-9#8200,
,/scp-series-9#8300,
,/scp-series-9#8400,
,/scp-series-9#8500,
,/scp-series-9#8600,
,/scp-series-9#8700,
,/scp-series-9#8800,
,/scp-series-9#8900,
,/scp-series-hub,
,/scp-series-hub#CN,
,/scp-series-hub#CS,
,/scp-series-hub#DE,
,/scp-series-hub#ES,
,/scp-series-hub#IT,
,/scp-series-hub#JP,
,/scp-series-hub#KO,
,/scp-series-hub#PL,
,/scp-series-hub#PT,
,/scp-series-hub#RU,
,/scp-series-hub#TH,
,/scp-series-hub#UA,
,/scp-series-hub#ZH,
,/scp-series-hub#VN,
,/scp-series-hub#INT,
,/scp-ex,
,javascript:;,
,/centre-des-contes-francais,
,/foundation-tales,
,/foundation-tales-hub,
,/goi-formats,
,javascript:;,
,/series-archive-fr,
,/series-archive-fr,
,/apres-aleph,
,/chroniques-de-saphir,
,/desert-humain,
,/gentleman-dream-centre,
,/centre-des-histoires-dimensionnelles,
,/centre-de-retranscription-des-dessins-animes,
,/series-archive,
,/series-archive,
,/the-hanged-king-s-comedy,
,/antimemetics-division-hub,
,/the-cool-war-hub,
,/burnt-bridges,
,/murphy-law-hub,
,/centre-des-canons-francais,
,/bsia,
,/dans-les-coulisses,
,/dos-au-mur,
,/centre-embargo,
,/le-reseau-corail,
,/centre-quand-le-soleil-se-couche,
,/ressources-humaines,
,/retour-a-l-anormal,
,/sous-le-monde-centre,
,/canon-hub,
,/canon-hub,
,/ad-astra-per-aspera-hub,
,/those-twisted-pines-hub,
,/the-alchemy-department-hub,
,/aiad-homescreen,
,/doctors-of-the-church-hub,
,/the-coldest-war-hub,
,/project-heimdall,
,/sotmhub,
,/third-law-hub,
,/old-man-in-the-sea-hub,
,/stealingsolidarityhub,
,javascript:;,
,/joke-scps,
,http://fondationscp.wikidot.com/system:page-tags/tag/collaboration-fr#pages,
,/enregistrement-des-objets-anormaux-fr,
,/enregistrement-des-evenements-extranormaux-fr,
,/liste-noire,
,/incidents-provoques-par-le-personnel-1,
,/tests-fait-dans-une-autre-dimension-dont-on-a-recupere-les-l,
,/inventions-et-brevets-de-la-fondation,
,/introductions-centre,
,/incident-reports-eye-witness-interviews-and-personal-logs,
,/archived-scps,
,javascript:;,
,/about-the-scp-foundation,
,/object-classes,
,/niveaux-de-menace-des-objets-scp,
,/security-clearance-levels,
,/task-forces,
,/groups-of-interest,
,/groupes-d-interet-fr,
,/groupes-d-interet-fr#aaa,
,/groupes-d-interet-fr#baao,
,/groupes-d-interet-fr#caldeira,
,/gendastrerie-centre,
,/les-gentilshommes-humanistes-centre,
,/groupes-d-interet-fr#humanite,
,/groupes-d-interet-fr#meute-aberdeen,
,/groupes-d-interet-fr#nemo,
,/avertissement,
,/centre-de-primordial,
,/groupes-d-interet-fr#univers-ile,
,/saphir-centre,
,/installations-de-la-branche-francophone,
,/equipement-de-la-branche-francophone,
,/gudule,
,/patapouf,
,#side-bar,
,/liste-fr,
,/scp-series,
,/scp-series-2,
,/scp-series-3,
,/scp-series-4,
,/scp-series-5,
,/scp-series-6,
,/scp-series-7,
,/scp-series-8,
,/scp-series-9,
,/scp-series-hub,
,/scp-ex,
,/joke-scps,
,/centre-des-contes-francais,
,/centre-des-canons-francais,
,/foundation-tales,
,/canon-hub,
,/about-the-scp-foundation,
,/object-classes,
,/niveaux-de-menace-des-objets-scp,
,/security-clearance-levels,
,/task-forces,
,/groups-of-interest,
,/groupes-d-interet-fr,
,/installations-de-la-branche-francophone,
,/equipement-de-la-branche-francophone,
,/gudule,
,/patapouf,
,javascript:;,
,javascript:;,
,/main,
,/liste-fr,
,/scp-series-hub,
,/scp-series,
,/scp-series-2,
,/scp-series-3,
,/scp-series-4,
,/scp-series-5,
,/scp-series-6,
,/scp-series-7,
,/scp-series-8,
,/scp-series-9,
,/system:join,
,/guide-for-newbies,
,/guide-ecriture,
,/guide-de-traduction,
,/traductions-reservees,
,/recommandations-de-lecture,
,/top-rated-pages,
,/system:random-scp,
,/system:random-tale,
,/system:recent-changes,
,/forum:start,
,/forum:recent-posts,
,/mentorat,
,/centre-des-veterans,
,/contact,
,/page-des-membres,
,/faq,
,/system:gazette,
,/ateliers,
,/vagabonds:main,
,javascript:;,
,/creer-une-page,
,/guide-hub,
,http://sandboxscpfr.wikidot.com/,
,/guide-de-syntaxe,
,http://scpper.com/pages,
,/illustrations-et-contenus-multimedia,
,/guide-des-tags,
,http://commandemento5.wikidot.com/,
,/licensing-guide,
,https://discord.gg/Fu8qzSBaWR,
,https://www.instagram.com/fondationscp.off/,
,https://twitter.com/france_scp,
,https://www.facebook.com/Fondation-SCP-France-390864711022952/?fref=ts,
,###,
,javascript:;,
,javascript:;,
,javascript:;,
,#,
,javascript:;,
,http://www.wikidot.com/user:info/cryogenchaos,
,http://www.wikidot.com/user:info/drjohannes,
,javascript:;,
,/david-rosen-file,
,/system:page-tags/tag/chercheur-rosen#pages,
,/system:page-tags/tag/conte#pages,
,/system:page-tags/tag/en#pages,
,/system:page-tags/tag/hurleur-de-motifs#pages,
,javascript:;,
,javascript:;,
,javascript:;,
,/forum/t-1441510/scp-000,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,javascript:;,
,http://www.wikidot.com/doc,
,http://www.wikidot.com/legal:terms-of-service,
,http://www.wikidot.com/legal:privacy-policy,
,javascript:;,
,javascript:;,
,http://www.wikidot.com,
,http://creativecommons.org/licenses/by-sa/3.0/,
,http://lm-wiki.wikidot.com,
,http://lm-wiki.wikidot.com,
,http://scp-njw.wikidot.com,
,http://scp-njw.wikidot.com,
,http://eitriggcrafting.wikidot.com,
,http://eitriggcrafting.wikidot.com,
,http://backrooms-mghc.wikidot.com,
,http://backrooms-mghc.wikidot.com,
